time,Azimuth:,Pitch:,Roll:
17.073,109.759,-72.229,7.493
17.130,103.096,-73.093,7.116
17.131,95.604,-73.093,7.116
17.191,106.959,-71.587,7.169
17.192,103.805,-71.587,7.169
17.250,103.970,-71.495,5.855
17.251,97.249,-71.495,5.855
17.309,104.001,-70.431,0.625
17.311,93.807,-70.431,0.625
17.366,115.229,-67.747,7.845
17.367,110.903,-67.747,7.845
17.427,107.032,-68.379,7.134
17.428,100.428,-68.379,7.134
17.490,97.144,-68.989,8.374
17.492,93.362,-68.989,8.374
17.550,93.953,-69.023,9.411
17.551,89.275,-69.023,9.411
17.607,98.264,-67.820,11.092
17.608,92.704,-67.820,11.092
17.667,104.127,-65.962,8.166
17.668,99.979,-65.962,8.166
17.728,108.568,-64.863,5.274
17.728,108.745,-64.863,5.274
17.787,110.376,-64.669,5.160
17.788,100.344,-64.669,5.160
17.849,94.522,-65.328,5.334
17.850,89.905,-65.328,5.334
17.907,105.137,-63.455,3.744
17.908,95.777,-63.455,3.744
17.967,107.640,-61.998,4.384
17.968,97.251,-61.998,4.384
18.037,107.608,-60.614,4.370
18.038,97.658,-60.614,4.370
18.086,90.969,-61.459,3.869
18.086,81.036,-61.459,3.869
18.148,107.974,-57.750,6.212
18.148,100.556,-57.750,6.212
18.207,90.788,-59.161,5.355
18.208,85.555,-59.161,5.355
18.271,96.148,-57.570,3.947
18.272,90.501,-57.570,3.947
18.327,91.140,-57.478,3.856
18.328,87.203,-57.478,3.856
18.395,96.182,-56.412,5.718
18.397,90.697,-56.412,5.718
18.447,87.775,-56.608,3.990
18.448,84.136,-56.608,3.990
18.510,96.334,-55.100,5.378
18.511,88.486,-55.100,5.378
18.567,79.028,-56.251,4.351
18.568,75.821,-56.251,4.351
18.627,99.023,-53.055,4.179
18.628,91.728,-53.055,4.179
18.689,85.531,-53.687,2.819
18.690,81.094,-53.687,2.819
18.751,84.350,-53.675,5.140
18.752,77.137,-53.675,5.140
18.810,82.357,-52.500,3.190
18.811,75.524,-52.500,3.190
18.869,90.129,-50.408,1.921
18.871,80.366,-50.408,1.921
18.932,81.456,-50.421,2.679
